id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
813,SL FLX 30,MISC58,SELANG FLEXIBEL 30 CM ISCO,ISCO,PCS,STD,9000.0,
814,SL FLX 40,MISC59,SELANG FLEXIBEL 40 CM ISCO,ISCO,PCS,STD,10000.0,
815,SL FLX 50,MISC60,SELANG FLEXIBEL 50 CM ISCO,ISCO,PCS,STD,11000.0,
816,SL MSN CC 1.5,MHPP02,"SELANG MESIN CUCI 1,5 MTR HPP",HPP,PCS,SU,14250.0,
817,SL PP TBG,MTOK21,SELANG POMPA TABUNG TOKIO,TOKIO,PCS,NAS,4000.0,
818,SLG SHW FLX,MXXX99,SELANG SHOWER FLEXIBLE,,PCS,VJP,22000.0,
819,SLND KCB IS,MISC61,SILINDER KUNCI BESAR ISCO,ISCO,LSN,STD,225000.0,
820,SLND KCK IS,MISC62,SILINDER KUNCI KECIL/TGG ISCO,ISCO,LSN,STD,212500.0,
821,SLOTBT MDRN 3,MHIO189,SLOTING BITS MODERN 3MM,HIOSHI,PCS,SUARI,18500.0,
822,SPRYGUN ISCO,MISC63,SPRAY GUN F75G ISCO,ISCO,PCS,STD,82000.0,
823,SPRYGUN MTCH,MMAX12,SPRAY GUN F75G MAXTECH,MAXTECH,PCS,STD,82000.0,
824,SR10X12,MGDO15,SIKU RAK 10 X 12 GDO,GDO,LSN,GPS,62500.0,
825,SR10X12 NI,MXXX100,SIKU RAK 10 X 12,,LSN,NIB,65000.0,
826,SR10X12 PTH,MGRT23,SIKU RAK PUTIH 10 X 12 GRT,GRT,LSN,SMSL,55575.0,
827,SR12X14,MGDO16,SIKU RAK 12 X 14 GDO,GDO,LSN,GPS,95000.0,
828,SR12X14 MJ,MMJP02,SIKU RAK 12 X 14 MJP,MJP,LSN,NIB,75000.0,
829,SR12X14 NI,MXXX101,SIKU RAK 12 X 14,,LSN,NIB,83500.0,
830,SR12X14 PTH,MGRT24,SIKU RAK PUTIH 12 X 14 GRT,GRT,LSN,SMSL,68875.0,
831,SR5X6 PTH,MGRT25,SIKU RAK PUTIH 5 X 6 GRT,GRT,LSN,SMSL,20900.0,
832,SR5X6 PTH KR,MKUR06,SIKU RAK PUTIH 5 X 6 KR,KURA,LSN,KS,29400.0,
833,SR6X8,MGDO17,SIKU RAK 6 X 8 GDO,GDO,LSN,NIB,43500.0,
834,SR6X8 NI,MXXX102,SIKU RAK 6 X 8,,LSN,NIB,30455.0,
835,SR6X8 PTH,MGRT26,SIKU RAK PUTIH 6 X 8 GRT,GRT,LSN,SMSL,27075.0,
836,SR8X10,MGDO18,SIKU RAK 8 X 10 GDO,GDO,LSN,GPS,44000.0,
837,SR8X10 MJ,MXXX103,SIKU RAK 8 X 10 MJP,,LSN,NIB,52500.0,
838,SR8X10 PROF,MPRO11,SIKU RAK 8 X 10 PROFIX,PROFIX,LSN,NIB,35000.0,
839,SR8X10 PTH,MGRT27,SIKU RAK PUTIH 8 X 10 GRT,GRT,LSN,SMSL,35625.0,
840,SR8X10 PTH KR,MKUR07,SIKU RAK PUTIH 8 X 10 KR,KURA,LSN,KS,38500.0,
841,SRG TGN BT,MMAT02,SARUNG TANGAN BINTIK MTHR,MATAHARI,LSN,MSI,25000.0,
842,SRG TGN BT HS,MHIO190,SARUNG TANGAN BINTIK HIOSHI,HIOSHI,LSN,KBB,29716.0,
843,SRG TGN BT HTM,MMAT03,SARUNG TANGAN BINTIK HITAM MTHR,MATAHARI,LSN,MSI,23000.0,
844,SRG TGN PL HS,MHIO191,SARUNG TANGAN POLOS HIOSHI,HIOSHI,LSN,KBB,22724.0,
845,STGRHD1,MHIO192,STANG GRAJI BESI HD-1 HIOSHI,HIOSHI,PCS,KBB,21312.5,
846,STGRHGG01,MHIO193,STANG GRAJI BESI GG KARET HIOSHI,HIOSHI,LSN,KBB,235125.0,
847,TALI NY 1 MM,MNIC02,TALI NYLON 1 MM NICHIE,NICHIE,PAK,NAS,32500.0,
848,TANG BY,MHIO194,TANG BUAYA 2 TONE 10' (BULAT),HIOSHI,PCS,KBB,34200.0,
849,TANG GNTG,MHIO195,TANG GANTUNG SATIN KOMBINASI 7',HIOSHI,PCS,KBB,26220.0,
850,TANG KOM6,MESS05,TANG KOMBINASI ESSEN 6',ESSEN,PCS,GMM,20636.0,
851,TANG KOM8,MESS06,TANG KOMBINASI ESSEN 8',ESSEN,PCS,GMM,27273.0,
852,TANG KOM8 YS,MYUS09,TANG KOMBINASI 8' YUSTAR ( TANG BC ),YUSTAR,PCS,HHH,9635.0,
853,TANG KP KBL,MTOR07,TANG KUPAS KABEL TORA,TORA,PCS,SMM,29000.0,
854,TANG LAS,MNIC03,TANG LAS MDL AMERICA NICHIE 800A / STANG LAS,NICHIE,PCS,NAS,27500.0,
855,TANG LAS K,MXXX104,TANG LAS RHINO 200 A / STANG LAS K,,PCS,NAS,17500.0,
856,TANG LCP 6,MHIO196,"TANG LANCIP 6"" HIOSHI",HIOSHI,PCS,KBB,23598.0,
857,TANG PTG 6,MHIO197,TANG POTONG 6',HIOSHI,PCS,KBB,23598.0,
858,TANG RVT,MCAM03,TANG RIVET OTOMATIS KW 1 CAMEL,CAMEL,PCS,PTMS,52273.0,
859,TANG RVT HS,MHIO198,"TANG RIVET 11,5 HIOSHI",HIOSHI,PCS,KBB,39187.5,
860,TANG RVT HS10,MHIO199,"TANG RIVET 10,5 HIOSHI",HIOSHI,PCS,KBB,31464.0,
861,TANG RVT HST,MHAS25,TANG RIVET HASSTON,HASSTON,PCS,CPI,46640.0,
862,TANGMNHSH,MHIO200,"TANG POTONG MINI 4,5 ORANYE HIOSHI",HIOSHI,PCS,KBB,10450.0,
863,TCT MDRN,MMOD35,"TCT SAW BLADE 4""X24T (MATA SERKEL)",MODERN,PCS,MT,12600.0,
864,TIMB BLT 10KG,MHIO201,TIMBANGAN BULAT 10 KG HIOSHI ECO HTD001B,HIOSHI,PCS,KBB,114712.5,
865,TIMB BLT 15KG,MHIO202,TIMBANGAN BULAT 15 KG HIOSHI ECO HTD001C,HIOSHI,PCS,KBB,114712.5,
866,TIMB BLT 20KG,MHIO203,TIMBANGAN BULAT 20 KG HIOSHI ECO,HIOSHI,PCS,KBB,114712.5,
867,TIMB BLT 5KG,MHIO204,TIMBANGAN BULAT 5 KG HIOSHI ECO,HIOSHI,PCS,KBB,133000.0,
868,TIMB GNT 100KG,MHIO205,TIMBANGAN GANTUNG 100KG HIOSHI,HIOSHI,PCS,KBB,69920.0,
869,TIMB GNT 50KG,MHIO206,TIMBANGAN GANTUNG 50KG HIOSHI,HIOSHI,PCS,KBB,69920.0,
870,TMBK LEM,MXXX105,ALAT TEMBAKAN LEM CROP TEBAL STRAUSS,,PCS,LGA,22003.8,
871,TMBK LEM TK,MTOK22,TEMBAKAN LEM TEBAL TOKIO,TOKIO,PCS,NAS,17500.0,
872,TR COM GDO,MGDO19,TARIKAN COM GDO GT001/ DOOR HANDLE,GDO,PCS,BI,12363.64,
873,TR LACI 6,MKZK02,"TARIKAN LACI 6""",KZK,LSN,BS,25000.0,
874,TR PTKY ISCO,MISC64,TARIKAN PINTU KAYU ISCO,ISCO,SET,STD,36500.0,
875,TTH FBGT 1,MHIO207,TATAH FIBER GANTUNG 1 (25MM) HIOSHI,HIOSHI,LSN,KBB,209475.0,
876,TTH FBGT 1.1/2,MHIO208,TATAH FIBER GANTUNG 1.1/2 (38MM) HIOSHI,HIOSHI,LSN,KBB,235980.0,
877,TTH FBGT 1.1/4,MHIO209,TATAH FIBER GANTUNG 1.1/4 (32MM) HIOSHI,HIOSHI,LSN,KBB,222300.0,
878,TTH FBGT 1/2,MHIO210,TATAH FIBER GANTUNG 1/2 (13MM) HIOSHI,HIOSHI,LSN,KBB,183825.0,
879,TTH FBGT 3/4,MHIO211,TATAH FIBER GANTUNG 3/4 (20MM) HIOSHI,HIOSHI,LSN,KBB,200925.0,
880,TTH FBGT 3/8,MHIO212,TATAH FIBER GANTUNG 3/8 (10MM) HIOSHI,HIOSHI,LSN,KBB,173052.0,
881,TTH FBGT 5/8,MHIO213,TATAH FIBER GANTUNG 5/8 (16MM) HIOSHI,HIOSHI,LSN,KBB,196650.0,
882,TTK AMP K,MXXX106,TATAKAN AMPLAS KASAR,,PCS,NIB,2775.0,
883,VAN BELT TORA,MTOR08,VAN BELT TORA,TORA,PCS,SMM,7150.0,
884,VPR FLEX 18,MVPR14,MATA GRAJI VPR FLEX 18T,VPR,PCS,MSM,900.9,
885,VPR FLEX 24,MVPR15,MATA GRAJI VPR FLEX 24T,VPR,PCS,MSM,900.9,
886,WATERMUR,MXXX107,WATERMUR ABU-ABU 1 X 3/4,,PCS,STD,1545.0,
887,WB SB35,MROY01,BCP/ WASHBAK ROYAL SB35,ROYAL,PCS,WG,160455.0,
888,WTRMUR1/2,MXXX108,WATERMUR BENING 1 X 1/2,,PCS,STD,2409.0,
889,WTRMUR3/4,MXXX109,WATERMUR BENING 1 X 3/4,,PCS,STD,2650.0,
890,SKR GYP 1.1/4 LMB,MLUM05,"SKRUP GYPSUM 6 X 1.1/4"" LUMBA2",LUMBA LUMBA,COL,IKS,630000.0,
891,KC SMRT LOCK,MISC65,KUNCI PINTU SMART LOCK ISCO,ISCO,PCS,STD,750000.0,
892,RD HDP KRT ABU 2 REM,MSSS18,"RODA HIDUP KARET ABU 2"" W/REM SSS",SSS,PCS,DWS,14000.0,
893,KR TMN CC80 ISCO,MISC66,KRAN TAMAN JEMPOL CC80 ISCO,ISCO,LSN,STD,37500.0,
894,BDM 4LB YS,MYUS10,BODEM 4 LB YUSTAR,YUSTAR,PCS,HHH,17200.0,
895,BDM 8LB YS,MYUS11,BODEM 8 LB YUSTAR,YUSTAR,PCS,HHH,34400.0,
896,BDM 10LB YS,MYUS12,BODEM 10 LB YUSTAR,YUSTAR,PCS,HHH,43000.0,
897,BDM 12LB YS,MYUS13,BODEM 12 LB YUSTAR,YUSTAR,PCS,HHH,51600.0,
898,BDM 14LB YS,MYUS14,BODEM 14 LB YUSTAR,YUSTAR,PCS,HHH,60200.0,
899,BDM 16LB YS,MYUS15,BODEM 16 LB YUSTAR,YUSTAR,PCS,HHH,68800.0,
900,BDM 6LB YS,MYUS16,BODEM 6 LB YUSTAR,YUSTAR,PCS,HHH,25800.0,
901,BDM 18LB YS,MYUS17,BODEM 18 LB YUSTAR,YUSTAR,PCS,HHH,77400.0,
902,BDM 20LB YS,MYUS18,BODEM 20 LB YUSTAR,YUSTAR,PCS,HHH,86000.0,
903,AMP BLT 80 VPR,MVPR16,AMPLAS BULAT 80 VPR,VPR,PCS,MSM,265.0,
904,TALI TR 5 MT,MXXX110,TALI TRUCK 5 MTR,,PCS,SMM,27500.0,
905,BD BITS MDRN 1/4,MMOD36,BEADING BITS MODERN 1/4,MODERN,PCS,SUARI,23000.0,
906,KP BS HTM OWN,MOWN03,KUNCI PINTU BESAR HITAM OWNER,OWNER,SET,STS,57500.0,
907,RD MT RED 2 DB,MSSS19,"RODA MATI MERAH 2"" PPU DB SSS",SSS,PCS,DWS,8431.24,
908,RD HDP RED 2 DB,MSSS20,"RODA HIDUP MERAH 2"" PPU DB SSS",SSS,PCS,DWS,10331.24,
909,RD HDP ABU 3,MSSS21,"RODA HIDUP ABU 3"" SSS",SSS,PCS,DWS,19250.0,
910,KWL1/2PTH GRT,MGRT28,KAWAT LOKET 1/2 PUTIH PATRI GRT,GRT,ROL,SMSL,760000.0,
911,KP TGG MU-03,MISC67,KUNCI PINTU TGG BABET BULAT MU-03 ISCO,ISCO,PCS,STD,46000.0,
912,MTR VPR 5,MVPR17,ROLL METER 5 MTR VPR,VPR,LSN,MSM,85000.0,
913,BAKCAT AWS HTM,MAWS04,BAK CAT HITAM SUPER AWS,AWS,LSN,NIB,55000.0,
914,KC RG 14X15 HST,MHAS26,KUNCI RING 14 X 15 HASSTON,HASSTON,PCS,CPI,19950.0,
915,KC PAS 14X15 HST,MHAS27,KUNCI PAS 14 X 15 HASSTON,HASSTON,PCS,CPI,14600.0,
916,CB TIES HTM400,MHAS28,CABLE TIES HITAM 400,HASSTON,PCS,CPI,29755.0,
917,CB TIES PTH400,MHAS29,CABLE TIES PUTIH 400,HASSTON,PCS,CPI,29755.0,
919,CB TIES PTH500 HS,MHAS30,CABLE TIES PUTIH 500 HS,HASSTON,PCS,CPI,80465.0,
920,KOP KACA 1 HEAD,MHAS31,KOP KACA 1 HEAD PRESSURE GAUGE,HASSTON,PCS,CPI,218460.0,
921,RF TUB BAN 200,MHAS32,REFILL TUBLES BAN 200MM,HASSTON,PCS,CPI,37565.0,
922,KC BACO 6,MHAS33,"KUNCI BACO 6"" ST HASSTON",HASSTON,PCS,CPI,38335.0,
923,U ANGIN BAN TG3,MHAS34,U ANGIN BAN TG3 HASSTON,HASSTON,PCS,CPI,85690.0,
924,TANG KRT 6 HS,MHAS35,"TANG KARET 6"" HASSTON",HASSTON,PCS,CPI,53020.0,
925,TANG KRT 7 HS,MHAS36,"TANG KARET 7"" HASSTON",HASSTON,PCS,CPI,60225.0,
926,KP SOK 8 HS,MHAS37,KEPALA SOK 8M S6 HASSTON,HASSTON,PCS,CPI,8690.0,
927,KP SOK 10 HS,MHAS38,KEPALA SOK 10M S6 HASSTON,HASSTON,PCS,CPI,8690.0,
928,KP SOK 12 HS,MHAS39,KEPALA SOK 12M S6 HASSTON,HASSTON,PCS,CPI,8690.0,
929,KP SOK 14 HS,MHAS40,KEPALA SOK 14M S6 HASSTON,HASSTON,PCS,CPI,8690.0,
930,KP SOK 19 HS,MHAS41,KEPALA SOK 19 S6 HASSTON,HASSTON,PCS,CPI,11165.0,
931,KP SOK 24 HS,MHAS42,KEPALA SOK 24M S6 HASSTON,HASSTON,PCS,CPI,14080.0,
932,KC SOK 10 PS,MHAS43,KUNCI SOK 10 PS HASSTON,HASSTON,PCS,CPI,195415.0,
933,KC SOK 25 PS,MHAS44,KUNCI SOK 25 PS HASSTON,HASSTON,PCS,CPI,703340.0,
934,AIR DST HS,MHAS45,AIR DUSTER 1+3 (THREE IN ONE) HASSTON,HASSTON,PCS,CPI,33990.0,
935,CB TIES HTM500 HS,MHAS46,CABLE TIES HITAM 500 HS,HASSTON,PCS,CPI,80465.0,
936,KP TGG MU-05,MISC68,KUNCI PINTU TGG BABET KOTAK MU-05 ISCO,ISCO,PCS,STD,46000.0,
937,BEARING 20MM TK,MTOK23,BEARING GEROBAK PASIRTOKIO 20MM,TOKIO,PCS,NAS,3750.0,
938,GR KOPI BS 14 TK,MTOK24,GERGAJI KOPI GG BESI 14 TOKIO,TOKIO,PCS,NAS,35000.0,
939,JARUM KR 6 TK,MTOK25,JARUM KARUNG TOKIO 6,TOKIO,PAK,NAS,40000.0,
940,RDGP HDP PTH TK,MTOK26,"RODA NYLON PTH HIDUP TOKIO 50MM /2""",TOKIO,SET,NAS,12500.0,
941,TANG LAS 300A,MNIC04,TANG LAS MDL ITALY 200-300A NICHIE,NICHIE,PCS,NAS,16500.0,
942,PMP SMZ PS116,MSHI01,POMPA SHIMIZU PS116 BIT,SHIMIZU,PCS,SIM,502503.0,
951,BC ONDA 1/2,MOND01,KRAN TEMBOK BC 1/2 ONDA,ONDA,PCS,SIM,30450.0,
952,BL ONDA 3/4 NEW,MOND02,KRAN TEMBOK BL 3/4 ONDA NEW,ONDA,PCS,SIM,43500.0,
953,BC ONDA 3/4 NEW,MOND03,KRAN TEMBOK BC 3/4 ONDA NEW,ONDA,PCS,SIM,61081.25,
954,A801 T ONDA 1/2,MOND04,KRAN TEMBOK A 801 T 1/2 ONDA,ONDA,PCS,SIM,62893.75,
955,CLS 02 ONDA 1/2,MOND05,STOP KRAN CLS 02 ONDA 1/2,ONDA,PCS,SIM,64706.25,
956,A SUS ONDA 1/2,MOND06,"KRAN T A-SUS ONDA 1/2""",ONDA,PCS,SIM,88631.67,
957,KRNBSTBK 12OND,MOND07,V-TUL FLEXI TEMBOK ONDA,ONDA,PCS,SIM,162762.75,
958,KRNSTFL TEMOND,MOND08,"V-SUS FLEXI TEMBOK 1/2"" ONDA",ONDA,PCS,SIM,206987.5,
959,STPKNV637TOND,MOND09,"V 637 T ONDA 1/2""",ONDA,PCS,SIM,80112.5,
960,KRNBSTNM12OND,MOND10,V-TUL FLEXI TANAM ONDA,ONDA,PCS,SIM,154062.5,
961,KRNSTFLTANOND,MXXX111,"V-SUS FLEXI TANAM 1/2"" ONDA",,PCS,,205356.25,
962,KRNSTVSU12OND,MOND11,"V-SUS TANAM ONDA 1/2""",ONDA,PCS,SIM,148081.25,
963,BSTCHY321COND,MOND12,"Y 321 C ONDA 1/2"" (R)",ONDA,PCS,SIM,151888.0,
964,ACSCHKTU12OND,MOND13,"K-TUL ONDA 1/2""",ONDA,PCS,SIM,91168.75,
965,MXRSTK406COND,MOND14,"K 406 CTG ONDA 1/2""",ONDA,PCS,SIM,146450.0,
966,MXRSTBT121OND,MOND15,"BATH-TUL ONDA 1/2"" (N)",ONDA,PCS,SIM,504962.5,
967,SWRCHJK036OND,MOND16,JET KUL WHITE ONDA,ONDA,PCS,SIM,83012.5,
968,MXRSTJF08SOND,MOND17,"JF 08 ST ONDA 1/2"" (ANGLE VALVE)",ONDA,PCS,SIM,79206.25,
969,SWRCHSOTULOND,MOND18,SO TUL ONDA,ONDA,PCS,SIM,131406.25,
970,SWRCHSO28OND,MOND19,SO KUL ONDA (BLISTER PACK),ONDA,PCS,SIM,128325.0,
971,ACSPVST172OND,MOND20,"SEALTAPE ONDA 1/2"" 10M (ST01)",ONDA,PCS,SIM,3987.5,
972,VLPPVPV22OND,MOND21,"PVCBV ONDA 1/2""",ONDA,PCS,SIM,17943.75,
973,VLPPVPPVC26OND,MOND22,"PVCBV ONDA 3/4""",ONDA,PCS,SIM,25918.75,
974,VLPPVPVC32OND,MOND23,"PVCBV ONDA 1""",ONDA,PCS,SIM,31718.75,
975,VLPPVPVC42OND,MOND24,"PVCBV ONDA 1-1/4""",ONDA,PCS,SIM,47306.5,
976,VLPPVPVC48OND,MOND25,"PVCBV ONDA 1-1/2""",ONDA,PCS,SIM,85006.25,
977,VLPPVPVC60OND,MOND26,"PVCBV ONDA 2""",ONDA,PCS,SIM,91168.75,
978,PK SG ULIR 3,MERD02,"PAKU SENG ULIR 3"" ERDOS",ERDOS,DOS,MSM,147500.0,
979,MTR VPR 3,MVPR18,ROLL METER 3 MTR  VPR,VPR,LSN,MSM,65000.0,
980,CH VALVE 1/2 HS,MHIO214,"CHECK VALVE (TUSEN KLEP) 1/2""",HIOSHI,PCS,KBB,0.0,
981,CH VALVE 3/4 HS,MHIO215,"CHECK VALVE (TUSEN KLEP) 3/4""",HIOSHI,PCS,KBB,0.0,
982,FOOT KL 3/4 HS,MHIO216,"FOOT KLEP PRO 3/4"" HIOSHI",HIOSHI,PCS,KBB,0.0,
983,BT10HSH RUNCING,MHIO217,BETEL TOPI 10 X 16 RUNCING HIOSHI,HIOSHI,PCS,KBB,0.0,
984,BV PVC 1/2 HS,MHIO218,"BALL VALVE PVC HD 1/2"" HIOSHI",HIOSHI,PCS,KBB,0.0,
985,BV PVC 1 HS,MHIO219,"BALL VALVE PVC HD 1"" HIOSHI",HIOSHI,PCS,KBB,0.0,
986,CTK KRT LCP 237 HS,MHIO220,CETOK KARET LANCIP 2-3-7 HIOSHI,HIOSHI,LSN,KBB,0.0,
987,CTK KRT BLT 247 HS,MHIO221,CETOK KARET BULAT 2-4-7 HIOSHI,HIOSHI,LSN,KBB,0.0,
988,CATK PP NO2 HS,MHIO222,CATOK PIPA PRO NO.2 (1/2-3.1/2) HS,HIOSHI,PCS,KBB,0.0,
989,BTAS HD8 HS,MHIO223,BATU ASAH HD 8 ORANYE / HITAM HIOSHI,HIOSHI,PCS,KBB,0.0,
990,CB TIES 100 MC HS,MHIO224,CABLE TIES 10 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0.0,
991,CB TIES 150 MC HS,MHIO225,CABLE TIES 15 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0.0,
992,CB TIES 200 MC HS,MHIO226,CABLE TIES 20 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0.0,
993,CB TIES 250 MC HS,MHIO227,CABLE TIES 25 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0.0,
994,CB TIES 300 MC HS,MHIO228,CABLE TIES 30 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0.0,
995,BB EXT 4X80 HS,MHIO229,BOR BETON EXTREME 4 X 80MM HIOSHI,HIOSHI,PCS,KBB,0.0,
996,MTR RCH 3 HS,MHIO230,ROLL METER RACHET 3 MTR PLAT HITAM HIOSHI,HIOSHI,LSN,KBB,0.0,
997,MTR RCH 5 HS,MHIO231,ROLL METER RACHET 5 MTR PLAT HITAM HIOSHI,HIOSHI,LSN,KBB,0.0,
998,MTR RCH 7.5 HS,MHIO232,ROLL METER RACHET 7.5 MTR PLAT HTM HIOSHI,HIOSHI,LSN,KBB,0.0,
999,GNT SENG HD8 HS,MHIO233,GUNTING SENG HD 8 HIOSHI,HIOSHI,PCS,KBB,0.0,
1000,GNT 20CM SG HS,MHIO234,GUNTING KERTAS BESAR 20CM SOFT GRIP HIOSHI,HIOSHI,PCS,KBB,0.0,
1001,GNT DHN HD9 HS,MHIO235,GUNTING DAHAN HD 9 GANTUNG HIOSHI,HIOSHI,PCS,KBB,0.0,
1002,KC RD PLG 16 HS,MHIO236,"KUNCI RODA PALANG 16"" (PLAT PENGAMAN) HIOSHI",HIOSHI,PCS,KBB,0.0,
1003,GR BR HD18 HS,MHIO237,"GERGAJI BATA RINGAN HD 18"" (GG KAYU) HIOSHI",HIOSHI,LSN,KBB,0.0,
1004,PL KMB KY HD80Z,MHIO238,PALU KAMBING KAYU HD 80Z HIOSHI,HIOSHI,PCS,KBB,0.0,
1005,PL KMB KY HD120Z,MHIO239,PALU KAMBING KAYU HD 120Z HIOSHI,HIOSHI,PCS,KBB,0.0,
1006,PL TK KY HD300G,MHIO240,PALU TUKANG KAYU HD 300G HIOSHI,HIOSHI,PCS,KBB,0.0,
1007,PL PON EXT 2LB HS,MHIO241,PALU PON EXTREME (FIBER HANDLE) 1KG 2LB,HIOSHI,PCS,KBB,0.0,
1008,PT GR HD60 HS,MHIO242,POTONG GRANIT HD 60CM (TITANIUM),HIOSHI,PCS,KBB,0.0,
1009,MT PTG HD60CM,MHIO243,MATA POTONG HD 60CM (TITANIUM) HIOSHI,HIOSHI,PCS,KBB,0.0,
1010,TREK 3 KK3 HS,MHIO244,TREKER 3 KAKI 3 HIOSHI,HIOSHI,PCS,KBB,0.0,
1011,TREK 3 KK4 HS,MHIO245,TREKER 3 KAKI 4 HIOSHI,HIOSHI,PCS,KBB,0.0,
1012,MR KR BR HS,MHIO246,MARKING KRAYON BIRU HIOSHI,HIOSHI,LSN,KBB,0.0,
1013,TANG BY HD10 LCP,MHIO247,TANG BUAYA HD10 LAPIS KARET MATA LANCIP,HIOSHI,PCS,KBB,0.0,
1014,TIMB GNT 150KG,MHIO248,TIMBANGAN GANTUNG ECO 150KG HIJAU HIOSHI,HIOSHI,PCS,KBB,0.0
